sentence,label,label_name,finbert_prediction,tfidf_prediction,rule_prediction,rule_correct,tfidf_correct,finbert_correct,negation,contrast,expectation,uncertainty,disagreement_category,rule_prediction_name,tfidf_prediction_name,finbert_prediction_name
"Mika Stahlberg , VP F-Secure Labs , said , `` We are excited and proud that F-Secure has been recognized by AV-Comparatives as the Product of the Year .",2,positive,2,1,2,True,False,True,False,False,False,False,finbert_rule_correct,positive,neutral,positive
Pretax profit decreased by 37 % to EUR 193.1 mn from EUR 305.6 mn .,0,negative,0,0,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,negative,negative
"At the end of the review period , Nordic Aluminium 's order book stood at EUR 8.77 mn compared to EUR 7.04 in 2005 .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .",2,positive,2,1,1,False,False,True,True,True,False,False,finbert_only_correct,neutral,neutral,positive
"Metsa-Botnia will finance the payment of dividends , the repayment of capital and the repurchase of its own shares with the funds deriving from its divestment of the Uruguay operations , and shares in Pohjolan Voima , and by utilising its existing financing facilities .",1,neutral,1,1,0,False,True,True,False,False,False,False,finbert_tfidf_correct,negative,neutral,neutral
"Investments span across various product and investment types , including retail , hospitality , office , and residential , with interests in real-estate portfolios , non-performing loans and corporate restructurings .",1,neutral,1,1,0,False,True,True,False,False,False,False,finbert_tfidf_correct,negative,neutral,neutral
20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss narrowed to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009 .,2,positive,2,2,0,False,True,True,False,False,False,False,finbert_tfidf_correct,negative,positive,positive
"Finnish shipping company Finnlines , of the Grimaldi Group , reports its net sales decreased to EUR 241.8 mn in January-June 2009 from EUR 384.0 mn in the corresponding period in 2008 .",0,negative,0,0,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,negative,negative
Sales rose to 300.9 mln eur compared with last year 's 276.1 mln eur and in line with 299 mln eur consensus figure .,2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
EBIT margin was up from 1.4 % to 5.1 % .,2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .,2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"When this investment is in place , Atria plans to expand into the Moscow market .",1,neutral,2,1,1,True,True,False,False,False,False,False,tfidf_rule_correct,neutral,neutral,positive
The company said that sales in the three months to the end of March slid to EUR86 .4 m US$ 113.4 m from EUR91 .2 m last year .,0,negative,0,2,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,positive,negative
Juha-Pekka Weckstr+Âm has been appointed President of telecom group TeliaSonera Finland to succeed Esa Rautalinko .,1,neutral,1,1,2,False,True,True,False,False,False,False,finbert_tfidf_correct,positive,neutral,neutral
The robust growth was the result of the inclusion of clothing chain Lindex in the Group in December 2007 .,2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
Sanoma News ' advertising sales decreased by 22 % during the year .,0,negative,0,0,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,negative,negative
The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .,0,negative,0,1,0,True,False,True,False,False,False,False,finbert_rule_correct,negative,neutral,negative
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as `` cry babies '' .,0,negative,0,1,0,True,False,True,False,False,False,False,finbert_rule_correct,negative,neutral,negative
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
To be number one means creating added value for stakeholders in everything we do .,1,neutral,2,1,1,True,True,False,False,False,False,False,tfidf_rule_correct,neutral,neutral,positive
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",0,negative,0,2,0,True,False,True,False,False,False,False,finbert_rule_correct,negative,positive,negative
"Full-year net sales are expected to increase by approximately 10 % , the company said .",2,positive,2,2,1,False,True,True,False,False,True,False,finbert_tfidf_correct,neutral,positive,positive
"Net interest income was EUR 39.3 mn , up from EUR 32.7 mn .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 241.2 mn in 2006 , down from EUR 321.6 mn in 2005 .",0,negative,0,0,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,negative,negative
"Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago .",0,negative,0,0,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,negative,negative
"Operating profit totalled EUR 5.8 mn , up from a loss of EUR 1.7 mn in the fourth quarter of 2009 .",2,positive,2,2,0,False,True,True,False,False,False,False,finbert_tfidf_correct,negative,positive,positive
"Finnish Kemira 's net sales EUR decreased to EUR 1,259.6 mn in January-June 2009 from EUR 1,425.1 mn in January-June 2008 .",0,negative,0,0,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,negative,negative
"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 .",0,negative,0,2,0,True,False,True,False,False,False,False,finbert_rule_correct,negative,positive,negative
"`` Overall , we 're pleased with the startup curve ... and we 're pleased with the quality of the paper , '' Stora spokeswoman Patricia Dietz said Tuesday .",2,positive,2,1,2,True,False,True,False,False,False,False,finbert_rule_correct,positive,neutral,positive
According to an  posted by the World Intellectual Property Organization : `` The present invention relates to hydrocarbons and particularly to the manufacture of hydrocarbon components suitable as aviation fuels or jet fuels and as blending stocks for aviation fuels .,1,neutral,1,1,2,False,True,True,False,False,False,False,finbert_tfidf_correct,positive,neutral,neutral
"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 % .",0,negative,0,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,negative
Why put up costly cell phone towers in thinly populated areas when a few balloons would do ?,1,neutral,1,1,0,False,True,True,False,False,False,False,finbert_tfidf_correct,negative,neutral,neutral
"When completed , the 120-meter Watchtower will be the highest building in Ireland .",1,neutral,1,1,2,False,True,True,False,False,False,False,finbert_tfidf_correct,positive,neutral,neutral
"The negotiations concern personnel of Cencorp Corporation and Singulase Oy as whole in Finland and in Sweden , the company said .",1,neutral,1,1,0,False,True,True,False,False,False,False,finbert_tfidf_correct,negative,neutral,neutral
Officials did not disclose the contract value .,1,neutral,1,1,2,False,True,True,True,False,False,False,finbert_tfidf_correct,positive,neutral,neutral
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"After non-recurring items of EUR 177mn , profit amounted to EUR 20mn .",1,neutral,1,0,1,True,False,True,False,False,False,False,finbert_rule_correct,neutral,negative,neutral
The group reiterated its forecast that handset manufacturers will sell around 915 mln units this year globally .,1,neutral,2,1,1,True,True,False,False,False,True,False,tfidf_rule_correct,neutral,neutral,positive
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
`` Stonesoft sees great promise in the future of IPv6 .,2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
"At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue-chip fallers .",0,negative,0,1,0,True,False,True,False,False,False,False,finbert_rule_correct,negative,neutral,negative
"The Dutch broker noted that Nokian Tyres reported a good first quarter in 2006 , above or in line with consensus .",2,positive,2,1,2,True,False,True,False,False,False,False,finbert_rule_correct,positive,neutral,positive
The negotiations concern 246 salaried and senior salaried employees and are scheduled to be completed in six weeks .,1,neutral,1,1,0,False,True,True,False,False,False,False,finbert_tfidf_correct,negative,neutral,neutral
The acquisition will have an immediate positive impact on Aspocomp 's financial result .,2,positive,2,1,2,True,False,True,False,False,False,False,finbert_rule_correct,positive,neutral,positive
"The company 's scheduled traffic , measured in revenue passenger kilometres RPK , grew by just over 2 % and nearly 3 % more passengers were carried on scheduled flights than in February 2009 .",2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
"According to the company , in addition to normal seasonal fluctuation the market situation has weakened during autumn 2008 .",0,negative,0,1,0,True,False,True,False,False,False,False,finbert_rule_correct,negative,neutral,negative
"In Middle East & North Africa , Tecnotree has grown considerably in the recent years .",2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
"The financial impact is estimated to be some 1.5 MEUR annual improvement in the division 's result , starting from fiscal year 2007 .",2,positive,2,1,2,True,False,True,False,False,False,False,finbert_rule_correct,positive,neutral,positive
`` We are pleased with the efforts of both negotiating teams and look forward to a productive four years ahead . '',2,positive,2,1,2,True,False,True,False,False,False,False,finbert_rule_correct,positive,neutral,positive
"Following the divestment , Fiskars 's Outdoor unit will comprise the brands Gerber , Silva and Buster , and will focus on multi-tools , knives , compasses , mobile lighting , pedometers , and aluminium boats .",1,neutral,1,1,0,False,True,True,False,False,False,False,finbert_tfidf_correct,negative,neutral,neutral
"In sales volume , Coca-Cola 's market share has decreased by 2.2 % to 24.2 % .",0,negative,0,0,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,negative,negative
"Finnish IT solutions provider Affecto Oyj said today that it has won a frame contract , valued at some EUR2m , to implement the next phase of its insurance application for South African Mutual & Federal Insurance Company Limited M&F .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"Outotec said it won new orders worth 492.9 mln eur during the quarter , compared with 240.4 mln eur a year earlier .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .,2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
The rationalization of the operations seeks to achieve over EUR 1 million in yearly savings as from the second quarter of the current financial year .,2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
21 December 2010 - Finnish industrial machinery company Wartsila Oyj Abp HEL : WRT1V said yesterday it had won an order to design a liquefied natural gas LNG powered platform supply vessel PSV for Norwegian oil service provider Eidesvik Offshore ASA OSL : EIOF .,2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"Vanhanen said the strike would be `` extremely damaging '' as some 1,300 participants and reporters begin to arrive in Finland for the one-day EU summit with Russian President Vladimir Putin in Lahti , about 100 kilometers ( 60 miles ) north of Helsinki .",0,negative,0,1,0,True,False,True,False,False,False,False,finbert_rule_correct,negative,neutral,negative
"Operating profit surged to EUR21m from EUR106 ,000 .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"Operating profit , excluding non-recurring items , totalled EUR 2.2 mn , down from EUR 2.7 mn in the corresponding period in 2008 .",0,negative,0,0,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,negative,negative
The server is responsible for managing devices and user accounts and a desktop client application enables remote access to the mobile phones .,1,neutral,1,1,2,False,True,True,False,False,False,False,finbert_tfidf_correct,positive,neutral,neutral
"`` We continued actively to focus R&D and to position our offering away from point solutions towards dynamic end-to-end solutions , '' Ervio stated .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"Following the issue , the number of shares in the Swedish company will grow by 9 % .",1,neutral,2,1,1,True,True,False,False,False,False,False,tfidf_rule_correct,neutral,neutral,positive
Cash flow from operations in January-December 2008 was a negative EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007 .,0,negative,0,2,0,True,False,True,False,False,False,False,finbert_rule_correct,negative,positive,negative
Honkarakenne Oyj - a world-leading manufacturer of genuine wooden homes - will be sponsoring Finnish crosscountry skier Virpi Kuitunen for the next three years .,1,neutral,1,1,2,False,True,True,False,False,False,False,finbert_tfidf_correct,positive,neutral,neutral
Incap Contract Manufacturing Services Private Limited has inked agreements with six new customers in India .,2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
"The company is in the process of building a new fleet and has placed orders for 10 P-Max tankers of 65,200 dwt .",2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
"An  of the invention , released by the Patent Office , said : `` The chambers are pressurized .",1,neutral,1,1,2,False,True,True,False,False,False,False,finbert_tfidf_correct,positive,neutral,neutral
"Key shareholders of Finnish IT services provider TietoEnator Oyj on Friday rejected a hostile EUR1 .08 billion $ 1.67 billion offer from buyout shop Nordic Capital , giving new life to a possible counter offer from Blackstone Group LP and Norwegian telecom Telenor ASA .",2,positive,0,1,0,False,False,False,False,False,False,True,all_wrong,negative,neutral,negative
The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees .,1,neutral,1,1,0,False,True,True,False,False,False,False,finbert_tfidf_correct,negative,neutral,neutral
"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",2,positive,2,2,1,False,True,True,False,True,False,False,finbert_tfidf_correct,neutral,positive,positive
"However , the company saw its net profit for the third quarter down to EUR 1.4 million from EUR 1.5 million for the corresponding period of 2009 .",0,negative,0,0,1,False,True,True,False,True,False,False,finbert_tfidf_correct,neutral,negative,negative
Operating profit fell to EUR 6.2 mn from EUR 8.5 mn in the third quarter of 2007 .,0,negative,0,0,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,negative,negative
"SCOPI Chief Business Excellence Officer , Eng .",1,neutral,1,1,2,False,True,True,False,False,False,False,finbert_tfidf_correct,positive,neutral,neutral
The ISO certification demonstrates that we are moving forward in our quality commitments to our customers . ',2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"Currently , the company foresees its pre-tax profit to remain below the 2009 level when it reached EUR 700,000 USD 934,000 , compared with previous projections of a slightly better pre-tax profit .",0,negative,0,2,2,False,False,True,False,False,False,False,finbert_only_correct,positive,positive,negative
Karppinen expects the consolidation trend to continue in the Finnish market .,1,neutral,2,2,1,True,False,False,False,False,True,False,rule_only_correct,neutral,positive,positive
Net sales decreased to EUR 220.5 mn from EUR 470.0 mn in the corresponding period in 2009 .,0,negative,0,0,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,negative,negative
Operating loss increased to EUR 17mn from a loss of EUR 10.8 mn in 2005 .,0,negative,2,2,0,True,False,False,False,False,False,False,rule_only_correct,negative,positive,positive
