sentence,model,true_class,predicted_class
"Tallink Silja attributes the significant drop to problems with the booking system that was taken into operation in October , the sale of trailer ferry ` Sky Wind ' and the route between Stockholm and Riga , which has won passengers from the Helsinki-Stockholm route .",TF-IDF + Logistic Regression,negative,neutral
"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .",TF-IDF + Logistic Regression,positive,neutral
"Luxembourg-registered investment fund Amber Trust II has won the final approval of Lithuania 's Competition Council to acquire 29.6 percent of Sanitas , the country 's largest pharmaceutical producer .",TF-IDF + Logistic Regression,positive,neutral
"The broker has initiated both Palfinger AG and Konecranes OYJ with ` buy ' recommendations , with 51 and 42 eur price targets respectively .",TF-IDF + Logistic Regression,positive,neutral
"Basware Corporation stock exchange release August 31 , 2010 at 16:25 Basware signed a large deal with an international industrial group Basware will deliver Invoice Automation solution and Connectivity Services to an international industrial group .",TF-IDF + Logistic Regression,positive,neutral
"Excluding non-recurring items , pre-tax profit surged 45 % to EUR80m .",TF-IDF + Logistic Regression,positive,neutral
fi is developing cooperation in keyword advertising with Microsoft .,TF-IDF + Logistic Regression,positive,neutral
"Operating result , excluding one-off items , totaled EUR 9.1 mn compared to EUR 10.6 mn in continuing operations , excluding one-off items in 2004 .",TF-IDF + Logistic Regression,negative,positive
Lean System supports change management and component purchasing extremely well .,TF-IDF + Logistic Regression,positive,neutral
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",TF-IDF + Logistic Regression,negative,neutral
Altogether Finnair has canceled over 500 flights because of the strike .,TF-IDF + Logistic Regression,negative,neutral
"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",TF-IDF + Logistic Regression,positive,neutral
"This truly takes efficiency to new heights , '' Mr. Metso adds .",TF-IDF + Logistic Regression,positive,neutral
Net sales in 2007 are expected to be 10 % up on 2006 .,TF-IDF + Logistic Regression,positive,neutral
Acquisitions have been made and businesses have been well integrated .,TF-IDF + Logistic Regression,positive,neutral
"The contracts of the employees , 96 of whom are blue-collar workers , will be ended between March and August 2011 .",TF-IDF + Logistic Regression,negative,neutral
"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",TF-IDF + Logistic Regression,positive,neutral
"A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007 , slightly down from 16.5 mn in 2006 .",TF-IDF + Logistic Regression,negative,neutral
"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",TF-IDF + Logistic Regression,negative,positive
The policy was also aimed at making the companies more profitable and competitive .,TF-IDF + Logistic Regression,positive,neutral
South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .,TF-IDF + Logistic Regression,positive,neutral
"HELSINKI (Thomson Financial)- Kemira GrowHow swung into profit in its first quarter earnings on improved sales , especially in its fertilizer business in Europe , which is normally stronger during the first quarter .",TF-IDF + Logistic Regression,positive,neutral
"Food sales totalled EUR 323.5 mn in October 2009 , representing a decrease of 5.5 % from October 2008 .",TF-IDF + Logistic Regression,negative,neutral
"The 50-50 joint venture , to be called Nokia Siemens Networks , will be comprised of Nokia 's network business group and Siemens ' carrier-related operations , creating estimated synergies of 1.5 billion euros ( $ 1.9 billion ) by 2010 , Nokia said .",TF-IDF + Logistic Regression,positive,neutral
"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .",TF-IDF + Logistic Regression,negative,neutral
"`` After the share purchase is completed , financing will also be provided to expand Latvia 's broadband infrastructure and to develop new areas of business , including acquisitions of other companies . ''",TF-IDF + Logistic Regression,positive,neutral
"However , the net sales declined to EUR 803.6 million from EUR 1.2 billion .",TF-IDF + Logistic Regression,negative,positive
"The prosecutor is also demanding Outokumpu pay a fine of EUR 800,000 at most .",TF-IDF + Logistic Regression,negative,neutral
"The airline has ordered nine Airbus A350-900 aircraft with deliveries from 2011 , and in doing so becomes the lead airline for the latest variant of Rolls-Royce Trent series engines , called the 1700 .",TF-IDF + Logistic Regression,positive,neutral
Sales of mid-strength beer decreased by 40 % .,TF-IDF + Logistic Regression,negative,neutral
"Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .",TF-IDF + Logistic Regression,negative,neutral
"Mika Stahlberg , VP F-Secure Labs , said , `` We are excited and proud that F-Secure has been recognized by AV-Comparatives as the Product of the Year .",TF-IDF + Logistic Regression,positive,neutral
"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .",TF-IDF + Logistic Regression,positive,neutral
The company said that sales in the three months to the end of March slid to EUR86 .4 m US$ 113.4 m from EUR91 .2 m last year .,TF-IDF + Logistic Regression,negative,positive
The robust growth was the result of the inclusion of clothing chain Lindex in the Group in December 2007 .,TF-IDF + Logistic Regression,positive,neutral
The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .,TF-IDF + Logistic Regression,negative,neutral
Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as `` cry babies '' .,TF-IDF + Logistic Regression,negative,neutral
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",TF-IDF + Logistic Regression,negative,positive
"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 .",TF-IDF + Logistic Regression,negative,positive
"`` Overall , we 're pleased with the startup curve ... and we 're pleased with the quality of the paper , '' Stora spokeswoman Patricia Dietz said Tuesday .",TF-IDF + Logistic Regression,positive,neutral
"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 % .",TF-IDF + Logistic Regression,negative,neutral
"After non-recurring items of EUR 177mn , profit amounted to EUR 20mn .",TF-IDF + Logistic Regression,neutral,negative
`` Stonesoft sees great promise in the future of IPv6 .,TF-IDF + Logistic Regression,positive,neutral
"At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue-chip fallers .",TF-IDF + Logistic Regression,negative,neutral
"The Dutch broker noted that Nokian Tyres reported a good first quarter in 2006 , above or in line with consensus .",TF-IDF + Logistic Regression,positive,neutral
The acquisition will have an immediate positive impact on Aspocomp 's financial result .,TF-IDF + Logistic Regression,positive,neutral
"The company 's scheduled traffic , measured in revenue passenger kilometres RPK , grew by just over 2 % and nearly 3 % more passengers were carried on scheduled flights than in February 2009 .",TF-IDF + Logistic Regression,positive,neutral
"According to the company , in addition to normal seasonal fluctuation the market situation has weakened during autumn 2008 .",TF-IDF + Logistic Regression,negative,neutral
"In Middle East & North Africa , Tecnotree has grown considerably in the recent years .",TF-IDF + Logistic Regression,positive,neutral
"The financial impact is estimated to be some 1.5 MEUR annual improvement in the division 's result , starting from fiscal year 2007 .",TF-IDF + Logistic Regression,positive,neutral
`` We are pleased with the efforts of both negotiating teams and look forward to a productive four years ahead . '',TF-IDF + Logistic Regression,positive,neutral
"Vanhanen said the strike would be `` extremely damaging '' as some 1,300 participants and reporters begin to arrive in Finland for the one-day EU summit with Russian President Vladimir Putin in Lahti , about 100 kilometers ( 60 miles ) north of Helsinki .",TF-IDF + Logistic Regression,negative,neutral
"Many of the commercial vessels had got stuck in the narrow Bay of Bothnia , where the ice is thicker , and around the Aaland islands .",TF-IDF + Logistic Regression,negative,neutral
Cash flow from operations in January-December 2008 was a negative EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007 .,TF-IDF + Logistic Regression,negative,positive
"`` We have analyzed Kaupthing Bank Sweden and found a business which fits well into Alandsbanken , '' said Alandsbanken 's chief executive Peter Wiklof in a statement .",TF-IDF + Logistic Regression,positive,neutral
Incap Contract Manufacturing Services Private Limited has inked agreements with six new customers in India .,TF-IDF + Logistic Regression,positive,neutral
"The company is in the process of building a new fleet and has placed orders for 10 P-Max tankers of 65,200 dwt .",TF-IDF + Logistic Regression,positive,neutral
"Key shareholders of Finnish IT services provider TietoEnator Oyj on Friday rejected a hostile EUR1 .08 billion $ 1.67 billion offer from buyout shop Nordic Capital , giving new life to a possible counter offer from Blackstone Group LP and Norwegian telecom Telenor ASA .",TF-IDF + Logistic Regression,positive,neutral
"Currently , the company foresees its pre-tax profit to remain below the 2009 level when it reached EUR 700,000 USD 934,000 , compared with previous projections of a slightly better pre-tax profit .",TF-IDF + Logistic Regression,negative,positive
Karppinen expects the consolidation trend to continue in the Finnish market .,TF-IDF + Logistic Regression,neutral,positive
Operating loss increased to EUR 17mn from a loss of EUR 10.8 mn in 2005 .,TF-IDF + Logistic Regression,negative,positive
"As a result , 12 people will be made redundant and a total of 67 persons are laid off temporarily .",Finance BERT,negative,neutral
"In a note to clients published , the Dutch broker described the company 's third quarter results as ` soft ' , although it also noted that Elcoteq retained its guidance , dealers said .",Finance BERT,neutral,negative
The insurance division turned a EUR120m profit .,Finance BERT,neutral,positive
Sanoma Corporation wants a new and better frequency for the Helsinki metropolitan area .,Finance BERT,neutral,positive
"According to Olvi 's Managing Director Lasse Aho , the company has an ongoing MMX Plus project that aims to find growth outside Finland .",Finance BERT,positive,neutral
"For Telenor , the three and a half year contract is worth an estimated 12.6 m. YIT has chosen Telenor and Elisa as its principal suppliers of ICT solutions in Norway , Sweden , Denmark and Finland .",Finance BERT,positive,neutral
"The share sale , to foreign and Finnish investors , is expected to raise some euro300 million ( US$ 380 million ) .",Finance BERT,neutral,positive
"So far the company has awarded more than $ 350,000 worth of tools and materials .",Finance BERT,neutral,positive
The second-quarter net sales are expected to be on par with the first quarter of 2009 .,Finance BERT,neutral,negative
"Because expenditures must be justified to pass budget approval hurdles , we believe our RoP model can help make it easier for IT and IT security practitioners to make the business case for acquiring enabling security technologies and related control activities .",Finance BERT,neutral,positive
Unit costs for flight operations fell by 6.4 percent .,Finance BERT,positive,negative
Nordea was the cheapest also for a couple in their 30s with debt .,Finance BERT,neutral,positive
"The broker has initiated both Palfinger AG and Konecranes OYJ with ` buy ' recommendations , with 51 and 42 eur price targets respectively .",Finance BERT,positive,neutral
Diluted loss per share stood at EUR 0.15 versus EUR 0.26 .,Finance BERT,positive,negative
The company reports a loss for the period of EUR 0.4 mn compared to a loss of EUR 1.9 mn in the corresponding period in 2005 .,Finance BERT,positive,negative
"The contracts of the employees , 96 of whom are blue-collar workers , will be ended between March and August 2011 .",Finance BERT,negative,neutral
"Combined with the Basware Enterprise Purchase to Pay portfolio , it provides a high level of automation for procurement and invoice workflows .",Finance BERT,neutral,positive
"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",Finance BERT,negative,positive
Neste Shipping is the most likely to remain Finnish as the oil sector and its transports are significant for emergency supply .,Finance BERT,neutral,negative
Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 .,Finance BERT,negative,positive
"At the same time , the market for automated liquid handling devices is already larger than that for pipettes , according to Biohit .",Finance BERT,neutral,positive
"According shipping company Viking Line , the EU decision will have a significant financial impact .",Finance BERT,neutral,negative
"`` After the share purchase is completed , financing will also be provided to expand Latvia 's broadband infrastructure and to develop new areas of business , including acquisitions of other companies . ''",Finance BERT,positive,neutral
"With the U.S. Federal Government putting a stake in the ground , vendors - and their customers - are focused on meeting the deadline .",Finance BERT,neutral,positive
Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn .,Finance BERT,positive,negative
"The airline has ordered nine Airbus A350-900 aircraft with deliveries from 2011 , and in doing so becomes the lead airline for the latest variant of Rolls-Royce Trent series engines , called the 1700 .",Finance BERT,positive,neutral
"When this investment is in place , Atria plans to expand into the Moscow market .",Finance BERT,neutral,positive
To be number one means creating added value for stakeholders in everything we do .,Finance BERT,neutral,positive
The group reiterated its forecast that handset manufacturers will sell around 915 mln units this year globally .,Finance BERT,neutral,positive
"Many of the commercial vessels had got stuck in the narrow Bay of Bothnia , where the ice is thicker , and around the Aaland islands .",Finance BERT,negative,neutral
"Following the issue , the number of shares in the Swedish company will grow by 9 % .",Finance BERT,neutral,positive
"`` We have analyzed Kaupthing Bank Sweden and found a business which fits well into Alandsbanken , '' said Alandsbanken 's chief executive Peter Wiklof in a statement .",Finance BERT,positive,neutral
"Key shareholders of Finnish IT services provider TietoEnator Oyj on Friday rejected a hostile EUR1 .08 billion $ 1.67 billion offer from buyout shop Nordic Capital , giving new life to a possible counter offer from Blackstone Group LP and Norwegian telecom Telenor ASA .",Finance BERT,positive,negative
Karppinen expects the consolidation trend to continue in the Finnish market .,Finance BERT,neutral,positive
Operating loss increased to EUR 17mn from a loss of EUR 10.8 mn in 2005 .,Finance BERT,negative,positive
